date,exchange,year
2000-01-17,NYSE,2000
2000-02-21,NYSE,2000
2000-04-21,NYSE,2000
2000-05-29,NYSE,2000
2000-07-04,NYSE,2000
2000-09-04,NYSE,2000
2000-11-23,NYSE,2000
2000-12-25,NYSE,2000
2001-01-01,NYSE,2001
2001-01-15,NYSE,2001
2001-02-19,NYSE,2001
2001-04-13,NYSE,2001
2001-05-28,NYSE,2001
2001-07-04,NYSE,2001
2001-09-03,NYSE,2001
2001-09-11,NYSE,2001
2001-09-12,NYSE,2001
2001-09-13,NYSE,2001
2001-09-14,NYSE,2001
2001-11-22,NYSE,2001
2001-12-25,NYSE,2001
2002-01-01,NYSE,2002
2002-01-21,NYSE,2002
2002-02-18,NYSE,2002
2002-03-29,NYSE,2002
2002-05-27,NYSE,2002
2002-07-04,NYSE,2002
2002-09-02,NYSE,2002
2002-11-28,NYSE,2002
2002-12-25,NYSE,2002
2003-01-01,NYSE,2003
2003-01-20,NYSE,2003
2003-02-17,NYSE,2003
2003-04-18,NYSE,2003
2003-05-26,NYSE,2003
2003-07-04,NYSE,2003
2003-09-01,NYSE,2003
2003-11-27,NYSE,2003
2003-12-25,NYSE,2003
2004-01-01,NYSE,2004
2004-01-19,NYSE,2004
2004-02-16,NYSE,2004
2004-04-09,NYSE,2004
2004-05-31,NYSE,2004
2004-06-11,NYSE,2004
2004-07-05,NYSE,2004
2004-09-06,NYSE,2004
2004-11-25,NYSE,2004
2004-12-24,NYSE,2004
2005-01-17,NYSE,2005
2005-02-21,NYSE,2005
2005-03-25,NYSE,2005
2005-05-30,NYSE,2005
2005-07-04,NYSE,2005
2005-09-05,NYSE,2005
2005-11-24,NYSE,2005
2005-12-26,NYSE,2005
2006-01-02,NYSE,2006
2006-01-16,NYSE,2006
2006-02-20,NYSE,2006
2006-04-14,NYSE,2006
2006-05-29,NYSE,2006
2006-07-04,NYSE,2006
2006-09-04,NYSE,2006
2006-11-23,NYSE,2006
2006-12-25,NYSE,2006
2007-01-01,NYSE,2007
2007-01-02,NYSE,2007
2007-01-15,NYSE,2007
2007-02-19,NYSE,2007
2007-04-06,NYSE,2007
2007-05-28,NYSE,2007
2007-07-04,NYSE,2007
2007-09-03,NYSE,2007
2007-11-22,NYSE,2007
2007-12-25,NYSE,2007
2008-01-01,NYSE,2008
2008-01-21,NYSE,2008
2008-02-18,NYSE,2008
2008-03-21,NYSE,2008
2008-05-26,NYSE,2008
2008-07-04,NYSE,2008
2008-09-01,NYSE,2008
2008-11-27,NYSE,2008
2008-12-25,NYSE,2008
2009-01-01,NYSE,2009
2009-01-19,NYSE,2009
2009-02-16,NYSE,2009
2009-04-10,NYSE,2009
2009-05-25,NYSE,2009
2009-07-03,NYSE,2009
2009-09-07,NYSE,2009
2009-11-26,NYSE,2009
2009-12-25,NYSE,2009
2010-01-01,NYSE,2010
2010-01-18,NYSE,2010
2010-02-15,NYSE,2010
2010-04-02,NYSE,2010
2010-05-31,NYSE,2010
2010-07-05,NYSE,2010
2010-09-06,NYSE,2010
